Sygnatura czasowa;Polityka RODO: ;Jestem: ;Sta¿ pracy: ;Szko³a:;Co jest prawd¹ o emocjach?;Z psychologicznego punktu widzenia emocje:;Co mo¿e pomóc w KONSTRUKTYWNYM ukojeniu nieprzyjemnych emocji? ;Jak wykonuje siê poprawny oddech przeponowy?;Co jest sposobem na zmniejszenie podatnoœci na odczuwanie nieprzyjemnych stanów emocjonalnych?;Czy forma przekazywania treœci podczas spotkania by³a dla Pani/Pana odpowiednia?;Jeœli nie, co nale¿a³oby zmieniæ?;Czy treœci przekazywane by³y w sposób zrozumia³y?;Czy æwiczenia realizowane w trakcie szkolenia pozwala³y na praktyczne wykorzystywanie zdobytej wiedzy? ;Czy prowadz¹cy zachêca³ do interakcji? Dawa³ mo¿liwoœæ zadawania pytañ i dyskusji? ;Czy udzia³ w szkoleniu pozwoli³ Pani/Panu na zdobycie lub uporz¹dkowanie wiedzy? ;Dziêki spotkaniu lepiej rozumiem to, co siê ze mn¹ dzieje.;Dziêki wiedzy zdobytej na szkoleniu jestem lepiej przygotowana/y na zauwa¿enie swoich emocji i zaopiekowania siê nimi.;Jakie treœci przekazane w ramach spotkania bêd¹ dla Pani/Pana najbardziej przydatne? Dlaczego?;Czy spotkanie zmieni³o sposób postrzegania przez Pani¹/Pana pewnych zagadnieñ? Jakich?;Czy jest Pani/Pan w stanie wskazaæ treœci, które uwa¿a Pani/Pan za zbêdne w agendzie szkolenia? Jakie?;Czy w Pani/Pana odczuciu w agendzie spotkania zabrak³o jakichœ istotnych treœci? Jakich?;Ogólna ocena spotkania ;Czy ma Pani/Pan dodatkowe uwagi dotycz¹ce szkolenia?
5.26.2025 17:45:02;Akceptujê;nauczycielem;21 lat i wiêcej;I Liceum Ogólnokszta³c¹ce im. A. Mickiewicza w Stargardzie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Raczej tak;Tak;Raczej tak;5;5;Zwrócenie uwagi, ¿e nasza codzienna 'higiena' jak dieta itp. ma bardzo du¿y wp³yw na emocje;to, ¿e te nie zawsze pozytywne emocje te¿ s¹ potrzebne w naszym ¿yciu;brak;nie;9;nie
5.26.2025 17:45:27;Akceptujê;nauczycielem;21 lat i wiêcej;I Liceum Ogólnokszta³c¹ce im. A. Mickiewicza w Stargardzie;To reakcje, które pojawiaj¹ siê w odpowiedzi na subiektywnie wa¿n¹ dla danej osoby sytuacjê.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Raczej tak;Raczej tak;Tak;Zdecydowanie tak;4;4;W zale¿noœci od sytuacji ró¿ne treœci.;Raczej usystematyzowa³y to, co do pewnego stopnia wiedzia³em;Nie;Nie mam zdania.;8;Nie.
5.26.2025 17:50:12;Akceptujê;nauczycielem;11-15 lat;I Liceum Ogólnokszta³c¹ce im. A. Mickiewicza w Stargardzie;To reakcje, które pojawiaj¹ siê w odpowiedzi na subiektywnie wa¿n¹ dla danej osoby sytuacjê.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez usta, a wydech – przez nos.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak; ;Zdecydowanie nie;Zdecydowanie nie;Tak;Zdecydowanie tak;5;5; ; ; ; ;10; 
5.26.2025 18:05:28;Akceptujê;nauczycielem;21 lat i wiêcej;I Liceum Ogólnokszta³c¹ce im. A. Mickiewicza w Stargardzie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech i wydech odbywaj¹ siê przez nos.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Raczej tak;Raczej tak;Tak;Raczej tak;2;3;Techniki oddychania;Nie;Mog³o by byæ krótsze ;Nie;6;Nie
5.26.2025 18:06:11;Akceptujê;nauczycielem;21 lat i wiêcej;I Liceum Ogólnokszta³c¹ce im. A. Mickiewicza w Stargardzie;Obie odpowiedzi s¹ poprawne.;mo¿na podzieliæ na dobre (pozytywne) i z³e (negatywne).;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Nie;Za du¿o teorii bez zwi¹zku z praktyk¹.;Raczej nie;Raczej nie;Nie, nie by³o przestrzeni do dyskusji;Raczej nie;1;1;Znam ¿ycie. Nic pozytywnego nie uzyska³em.;Nie ;Oderwanie od realiów ¿ycia.;Szkoda czasu !;2;Szkoda czasu.
5.26.2025 18:28:28;Akceptujê;dyrektorem/wicedyrektorem;21 lat i wiêcej;Publiczna Szko³a Podstawowa im K. Makuszyñskiego w D³ugowoli;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;æwiczenia relaksacyjne;uwaznoœæ na siebie;nie by³o takich;nie by³o takich;9;bardzo przydatne w codziennej pracy i ¿yciu
5.26.2025 18:29:00;Akceptujê;nauczycielem;11-15 lat;Publiczna Szko³a Podstawowa im K. Makuszyñskiego w D³ugowoli;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Raczej tak;5;4;jak rozpoznawaæ emocje;nic;nie;nie;9;nie
5.26.2025 18:29:04;Akceptujê;nauczycielem;21 lat i wiêcej;Publiczna Szko³a Podstawowa im K. Makuszyñskiego w D³ugowoli;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Æwiczenia ;Wp³yw postawy cia³a na emocje ;Brak ;Wszystko co wa¿ne by³o ;10;Nie 
5.26.2025 18:30:26;Akceptujê;nauczycielem;21 lat i wiêcej;Publiczna Szko³a Podstawowa im K. Makuszyñskiego w D³ugowoli;Obie odpowiedzi s¹ poprawne.;mo¿na podzieliæ na dobre (pozytywne) i z³e (negatywne).;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Jak sobie radziæ z emocjami ;Tak , na temat moich w³asnych emocji, jak sobie z nimi poradziæ ;Nie jestem w stanie wskazaæ ;Nie zabrak³o ;10;Nie mam 
5.26.2025 18:30:33;Akceptujê;nauczycielem;1-5 lat;Publiczna Szko³a Podstawowa im K. Makuszyñskiego w D³ugowoli;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Æwiczenia relaksacyjne, poniewa¿ pomog¹ w wyciszeniu emocji po ca³ym dniu pracy. ;Nie;Nie;Nie;10;Nie
5.26.2025 18:30:36;Akceptujê;nauczycielem;21 lat i wiêcej;Publiczna Szko³a Podstawowa im K. Makuszyñskiego w D³ugowoli;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;"
tabletka przeciwbólowa";nie;nie;nie;10;nie
5.26.2025 18:31:14;Akceptujê;nauczycielem;16-20 lat;Publiczna Szko³a Podstawowa im K. Makuszyñskiego w D³ugowoli;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;nic;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Cwiczenia relaksacyjnie.;tak;nie;nie;10;nie
5.26.2025 18:31:19;Akceptujê;nauczycielem;16-20 lat;Publiczna Szko³a Podstawowa im K. Makuszyñskiego w D³ugowoli;Obie odpowiedzi s¹ poprawne.;mo¿na podzieliæ na dobre (pozytywne) i z³e (negatywne).;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;ca³e szkolenie by³o bardzo ciekawe a treœci przydatne które na pewno wykorzystam w przyszlosci;nie;nie;nie;10;nie
5.26.2025 18:31:38;Akceptujê;psychologiem;mniej ni¿ rok;Publiczna Szko³a Podstawowa im K. Makuszyñskiego w D³ugowoli;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Æwiczenia na uspokojenie emocji;Tak, ¿eby zadbaæ o w³asny dobrostan ;Nie ;Nie;10;Bardzo wartoœciowe szkolenie
5.26.2025 18:32:44;Akceptujê;nauczycielem;21 lat i wiêcej;Publiczna Szko³a Podstawowa im K. Makuszyñskiego w D³ugowoli;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez usta, a wydech – przez nos.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;Wszystkie treœci by³y przekazane dobrze;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;æwiczenia relaksacyjne;Prawid³owy odpoczynek;Nie;Nie;10;Nie
5.26.2025 18:33:46;Akceptujê;pomoc nauczyciela w szkole;1-5 lat;Publiczna Szko³a Podstawowa im K. Makuszyñskiego w D³ugowoli;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Jak radziæ sobie z emocjami, æwiczenia na postawê cia³a i æwiczenia oddechowe.;-;-;-;10;-
5.26.2025 18:34:59;Akceptujê;nauczycielem;21 lat i wiêcej;Publiczna Szko³a Podstawowa im K. Makuszyñskiego w D³ugowoli;Obie odpowiedzi s¹ poprawne.;mo¿na podzieliæ na dobre (pozytywne) i z³e (negatywne).;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;æwiczenia ;Raczej nie;Nie;nie;10;Nie
5.26.2025 18:39:27;Akceptujê;nauczycielem;21 lat i wiêcej;Publiczna Szko³a Podstawowa im K. Makuszyñskiego w D³ugowoli;To reakcje, które pojawiaj¹ siê w odpowiedzi na subiektywnie wa¿n¹ dla danej osoby sytuacjê.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Raczej tak;Tak;Zdecydowanie tak;5;5;Jak zapobiegaæ sytuacjom emocjonalnym i jak zapanowaæ nad swoimi emocjami.;Uœwiadomi³o mi koniecznoœæ analizowania w³asnych emocji i potrzeb.;Nie zauwa¿y³am takich.;Nie.;10;Nie mam.
5.29.2025 18:47:24;Akceptujê;nauczycielem;6-10 lat;"Niepubliczna Szko³a Podstawowa z Oddzia³ami Integracyjnymi ""Bajkowa Akademia"" w Lublinie";Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;Nic ;Zdecydowanie tak;Zdecydowanie tak;Tak;Raczej tak;5;5;Wszytsko by³o okej;Raczej nie ;Ka¿de by³y potrzebne ;Nie;10;Nie mam
5.29.2025 18:48:51;Akceptujê;pedagogiem;1-5 lat;"Niepubliczna Szko³a Podstawowa z Oddzia³ami Integracyjnymi ""Bajkowa Akademia"" w Lublinie";Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Trening oddechowy;Uporz¹dkowa³o dotychczasow¹ wiedzê ;Nie zauwa¿y³am ;Raczej nie;10;Nie mam
5.29.2025 18:52:56;Akceptujê;psychologiem;mniej ni¿ rok;"Niepubliczna Szko³a Podstawowa z Oddzia³ami Integracyjnymi ""Bajkowa Akademia"" w Lublinie";Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;nic;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Sposoby na uspokojenie siê;Zrozumia³am jak wa¿na jest odpowiednia postawa cia³a;Nie;Nie;10;Nie mam, wszystko by³o ok
5.29.2025 18:56:04;Akceptujê;nauczycielem;1-5 lat;"Niepubliczna Szko³a Podstawowa z Oddzia³ami Integracyjnymi ""Bajkowa Akademia"" w Lublinie";Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech i wydech odbywaj¹ siê przez nos.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;chyba najbardziej inspiracja w codziennosci na poprawienie stanu;tak, ze proste rzeczy moga pomóc  wrównowadze;nie;nie ;10;nie
5.29.2025 18:56:56;Akceptujê;Terapeuta Si;11-15 lat;"Niepubliczna Szko³a Podstawowa z Oddzia³ami Integracyjnymi ""Bajkowa Akademia"" w Lublinie";Uruchamiaj¹ ca³y zespó³ zmian w ciele, w sposobie myœlenia i zachowaniu cz³owieka.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Sposoby relaksacyjne;Cwiczenia;Cwiczenia oddechowe ;Nie;10;Nie
5.29.2025 19:02:11;Akceptujê;nauczycielem;1-5 lat;"Niepubliczna Szko³a Podstawowa z Oddzia³ami Integracyjnymi ""Bajkowa Akademia"" w Lublinie";Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Raczej tak;5;5;Sposoby na rozluŸnienie ;Nie ;Nie ;Nie ;10;Nie
5.29.2025 19:03:32;Akceptujê;Terapeuta si ;mniej ni¿ rok;"Niepubliczna Szko³a Podstawowa z Oddzia³ami Integracyjnymi ""Bajkowa Akademia"" w Lublinie";Uruchamiaj¹ ca³y zespó³ zmian w ciele, w sposobie myœlenia i zachowaniu cz³owieka.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Jak prawid³owo wyciszyæ organizm oddechem.;Jak wa¿ne jest dbanie o siebie emocje, sen, jedzenie,sport ;Brak takich.;Wszystko, by³o ok.;10;Brak
5.29.2025 19:05:51;Akceptujê;nauczycielem;6-10 lat;"Niepubliczna Szko³a Podstawowa z Oddzia³ami Integracyjnymi ""Bajkowa Akademia"" w Lublinie";Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;Nic;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Sposoby radzenia sobie z trudnymi sytuacjami;Postrzeganie emocji, porównanie do wody;Nie ma takich;Nie;10;Nie
5.29.2025 19:06:08;Akceptujê;pedagogiem;1-5 lat;"Niepubliczna Szko³a Podstawowa z Oddzia³ami Integracyjnymi ""Bajkowa Akademia"" w Lublinie";Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Praktyczne wskazówki odnoœnie æwiczeñ oddechowych, które mo¿na wykonywaæ w ka¿dej mo¿liwej sytuacji;Poszerzy³o moj¹ widzê odnoœnie ³atwych trików, które pomagaj¹ siê odstresowaæ;Nie by³o takich.;Nie mam takiego wra¿enia;10;brak
5.29.2025 19:06:37;Akceptujê;nauczycielem;6-10 lat;"Niepubliczna Szko³a Podstawowa z Oddzia³ami Integracyjnymi ""Bajkowa Akademia"" w Lublinie";Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Techniki oddechowe.;Pomog³o mi szerzej spojrzeæ na zagadnienie emocji w codziennoœci. ;Nie ma takich. ;Nie ma takich. ;10;Nie. 
5.29.2025 19:39:34;Akceptujê;nauczyciel wspó³organizuj¹cy;1-5 lat;"Niepubliczna Szko³a Podstawowa z Oddzia³ami Integracyjnymi ""Bajkowa Akademia"" w Lublinie";Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Raczej tak;4;4;Pomys³y na radzenie sobie w trudnych chwilach w niesprzyjaj¹cej przestrzeni ;Zmieni³o spojrzenie na to, ¿e istnieje wiêcej mo¿liwoœci jakie mogê wykorzystaæ w sytuacjach stresowych.;Nie;Nie;9;Nie
5.30.2025 6:21:19;Akceptujê;nauczycielem;1-5 lat;"Niepubliczna Szko³a Podstawowa z Oddzia³ami Integracyjnymi ""Bajkowa Akademia"" w Lublinie";Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Raczej tak;Tak;Raczej tak;3;3;Postawy rozladujace napiecie;Nie;Nie;Noe;7;Nie
6.2.2025 17:44:28;Akceptujê;nauczycielem;16-20 lat;Szko³a Podstawowa im. J. Wybickiego w Baboszewie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Raczej tak;Raczej tak;Tak;Raczej tak;4;4;Æwiczenia relaksacyjne;Raczej nie;Nie;Nie;8;Nie
6.2.2025 17:44:40;Akceptujê;nauczycielem;21 lat i wiêcej;Szko³a Podstawowa im. J. Wybickiego w Baboszewie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Optymistyczne nastawienie do codziennoœci i koncentrowanie siê na pozytywnych aspektach w³asnego ¿ycia.;Tak;-;Zdecydowanie tak;Zdecydowanie tak;Tak;Raczej tak;5;5;-;-;-;-;10;-
6.2.2025 17:44:56;Akceptujê;nauczycielem;1-5 lat;Szko³a Podstawowa im. J. Wybickiego w Baboszewie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Ró¿ne sposoby radzenia sobie ze stresem. ;Tak, postrzeganie moich emocji uleg³o zmianie/poprawie;Nie;Nie mam takich odczuæ ;10;Nie
